timestamp,entityType,errorCode,errorMsg,initialComponent,initialSystem,logger,loggingComponent,loggingSystem,payloadType,sessionId,transactionId,txnState
2016-04-19T04:49:12.486Z,,,,/policies/31037069H,API-GATEWAY,api.policies.get.policyNumber.entry,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,d3e352c6-7d0d-482a-8acf-644acec8e784,started
2016-04-19T04:49:12.487Z,,,,,,api.policies.microservice.request,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,d3e352c6-7d0d-482a-8acf-644acec8e784,uServiceStarted
2016-04-19T04:49:12.494Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,d3e352c6-7d0d-482a-8acf-644acec8e784,API_Request_Received
2016-04-19T04:49:12.497Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,d3e352c6-7d0d-482a-8acf-644acec8e784,ESB_Request_Sent
2016-04-19T04:49:12.502Z,,,,/members/me,API-GATEWAY,api.members.get.members.memberid.entry,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,88cd0062-e25e-463b-b251-aa287f4f1cd1,started
2016-04-19T04:49:12.503Z,,,,,,api.members.microservice.request,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,88cd0062-e25e-463b-b251-aa287f4f1cd1,uServiceStarted
2016-04-19T04:49:12.509Z,members,,,,,EVENT_DEBUG_LOGGER,members-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,88cd0062-e25e-463b-b251-aa287f4f1cd1,API_Request_Received
2016-04-19T04:49:12.511Z,members,,,,,EVENT_DEBUG_LOGGER,members-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,88cd0062-e25e-463b-b251-aa287f4f1cd1,ESB_Request_Sent
2016-04-19T04:49:13.243Z,members,,,,,EVENT_DEBUG_LOGGER,members-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,88cd0062-e25e-463b-b251-aa287f4f1cd1,ESB_Response_Received
2016-04-19T04:49:13.245Z,members,,,,,EVENT_DEBUG_LOGGER,members-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,88cd0062-e25e-463b-b251-aa287f4f1cd1,API_Response_Sent
2016-04-19T04:49:13.249Z,,,,,,api.members.microservice.response,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,88cd0062-e25e-463b-b251-aa287f4f1cd1,uServiceCompleted
2016-04-19T04:49:13.250Z,,,,/members/me,API-GATEWAY,api.members.get.members.memberid.exit,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,88cd0062-e25e-463b-b251-aa287f4f1cd1,completed
2016-04-19T04:49:13.620Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,d3e352c6-7d0d-482a-8acf-644acec8e784,ESB_Response_Received
2016-04-19T04:49:13.622Z,,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,d3e352c6-7d0d-482a-8acf-644acec8e784,API_Request_Sent
2016-04-19T04:49:13.667Z,members,,,,,EVENT_DEBUG_LOGGER,members-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,,API_Request_Received
2016-04-19T04:49:13.670Z,members,,,,,EVENT_DEBUG_LOGGER,members-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,,ESB_Request_Sent
2016-04-19T04:49:14.255Z,members,,,,,EVENT_DEBUG_LOGGER,members-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,,ESB_Response_Received
2016-04-19T04:49:14.256Z,members,,,,,EVENT_DEBUG_LOGGER,members-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,,API_Response_Sent
2016-04-19T04:49:14.258Z,,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,d3e352c6-7d0d-482a-8acf-644acec8e784,API_Response_Received
2016-04-19T04:49:14.259Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,d3e352c6-7d0d-482a-8acf-644acec8e784,API_Response_Sent
2016-04-19T04:49:14.263Z,,,,,,api.policies.microservice.response,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,d3e352c6-7d0d-482a-8acf-644acec8e784,uServiceCompleted
2016-04-19T04:49:14.264Z,,,,/policies/31037069H,API-GATEWAY,api.policies.get.policyNumber.exit,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,d3e352c6-7d0d-482a-8acf-644acec8e784,completed
2016-04-19T04:49:14.463Z,,,,/policies/31037069H/bonusBalances,API-GATEWAY,api.policies.get.policyNumber.bonusBalances.entry,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,fb2c5848-9985-4e41-ac64-ef041f8bf6b7,started
2016-04-19T04:49:14.464Z,,,,,,api.policies.microservice.request,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,fb2c5848-9985-4e41-ac64-ef041f8bf6b7,uServiceStarted
2016-04-19T04:49:14.471Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,fb2c5848-9985-4e41-ac64-ef041f8bf6b7,API_Request_Received
2016-04-19T04:49:14.474Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,fb2c5848-9985-4e41-ac64-ef041f8bf6b7,ESB_Request_Sent
2016-04-19T04:49:14.585Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,fb2c5848-9985-4e41-ac64-ef041f8bf6b7,ESB_Response_Received
2016-04-19T04:49:14.586Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,fb2c5848-9985-4e41-ac64-ef041f8bf6b7,API_Response_Sent
2016-04-19T04:49:14.589Z,,,,,,api.policies.microservice.response,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,fb2c5848-9985-4e41-ac64-ef041f8bf6b7,uServiceCompleted
2016-04-19T04:49:14.590Z,,,,/policies/31037069H/bonusBalances,API-GATEWAY,api.policies.get.policyNumber.bonusBalances.exit,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,fb2c5848-9985-4e41-ac64-ef041f8bf6b7,completed
2016-04-19T04:49:14.936Z,,,,/claims,API-GATEWAY,api.claims.get.entry,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,58da610b-e9b1-4670-b727-7bf35874141b,started
2016-04-19T04:49:14.937Z,,,,,,api.claims.microservice.request,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,58da610b-e9b1-4670-b727-7bf35874141b,uServiceStarted
2016-04-19T04:49:14.944Z,claims,,,,,EVENT_DEBUG_LOGGER,claims-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,58da610b-e9b1-4670-b727-7bf35874141b,API_Request_Received
2016-04-19T04:49:14.947Z,claims,,,,,EVENT_DEBUG_LOGGER,claims-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,58da610b-e9b1-4670-b727-7bf35874141b,ESB_Request_Sent
2016-04-19T04:49:16.387Z,claims,,,,,EVENT_DEBUG_LOGGER,claims-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,58da610b-e9b1-4670-b727-7bf35874141b,ESB_Response_Received
2016-04-19T04:49:16.391Z,,,,,,EVENT_DEBUG_LOGGER,claims-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,58da610b-e9b1-4670-b727-7bf35874141b,API_Request_Sent
2016-04-19T04:49:16.405Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,,API_Request_Received
2016-04-19T04:49:16.407Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,,ESB_Request_Sent
2016-04-19T04:49:17.484Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,,ESB_Response_Received
2016-04-19T04:49:17.487Z,,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,,API_Request_Sent
2016-04-19T04:49:17.494Z,members,,,,,EVENT_DEBUG_LOGGER,members-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,,API_Request_Received
2016-04-19T04:49:17.497Z,members,,,,,EVENT_DEBUG_LOGGER,members-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,,ESB_Request_Sent
2016-04-19T04:49:18.189Z,members,,,,,EVENT_DEBUG_LOGGER,members-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,,ESB_Response_Received
2016-04-19T04:49:18.190Z,members,,,,,EVENT_DEBUG_LOGGER,members-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,,API_Response_Sent
2016-04-19T04:49:18.193Z,,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,,API_Response_Received
2016-04-19T04:49:18.194Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,,API_Response_Sent
2016-04-19T04:49:18.198Z,,,,,,EVENT_DEBUG_LOGGER,claims-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,58da610b-e9b1-4670-b727-7bf35874141b,API_Response_Received
2016-04-19T04:49:18.202Z,claims,,,,,EVENT_DEBUG_LOGGER,claims-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,58da610b-e9b1-4670-b727-7bf35874141b,API_Response_Sent
2016-04-19T04:49:18.206Z,,,,/claims,API-GATEWAY,api.claims.get.exit,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,58da610b-e9b1-4670-b727-7bf35874141b,completed
2016-04-19T04:49:18.206Z,,,,,,api.claims.microservice.response,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,58da610b-e9b1-4670-b727-7bf35874141b,uServiceCompleted
2016-04-19T04:49:18.377Z,,,,/claims/providers,API-GATEWAY,api.claims.get.providers.entry,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,7be383da-6f65-469f-8a5b-41a1d4b42e3d,started
2016-04-19T04:49:18.377Z,,,,,,api.claims.microservice.request,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,7be383da-6f65-469f-8a5b-41a1d4b42e3d,uServiceStarted
2016-04-19T04:49:18.383Z,claims,,,,,EVENT_DEBUG_LOGGER,claims-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,7be383da-6f65-469f-8a5b-41a1d4b42e3d,API_Request_Received
2016-04-19T04:49:18.387Z,claims,,,,,EVENT_DEBUG_LOGGER,claims-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,7be383da-6f65-469f-8a5b-41a1d4b42e3d,ESB_Request_Sent
2016-04-19T04:49:18.390Z,,,,/claims/providers,API-GATEWAY,api.claims.get.providers.entry,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,ec4134ea-fef3-4b74-8675-d68dbe0b0331,started
2016-04-19T04:49:18.390Z,,,,,,api.claims.microservice.request,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,ec4134ea-fef3-4b74-8675-d68dbe0b0331,uServiceStarted
2016-04-19T04:49:18.396Z,claims,,,,,EVENT_DEBUG_LOGGER,claims-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,ec4134ea-fef3-4b74-8675-d68dbe0b0331,API_Request_Received
2016-04-19T04:49:18.400Z,claims,,,,,EVENT_DEBUG_LOGGER,claims-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,ec4134ea-fef3-4b74-8675-d68dbe0b0331,ESB_Request_Sent
2016-04-19T04:49:18.714Z,claims,,,,,EVENT_DEBUG_LOGGER,claims-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,ec4134ea-fef3-4b74-8675-d68dbe0b0331,ESB_Response_Received
2016-04-19T04:49:18.715Z,claims,,,,,EVENT_DEBUG_LOGGER,claims-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,ec4134ea-fef3-4b74-8675-d68dbe0b0331,API_Response_Sent
2016-04-19T04:49:18.718Z,,,,,,api.claims.microservice.response,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,ec4134ea-fef3-4b74-8675-d68dbe0b0331,uServiceCompleted
2016-04-19T04:49:18.719Z,,,,/claims/providers,API-GATEWAY,api.claims.get.providers.exit,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,ec4134ea-fef3-4b74-8675-d68dbe0b0331,completed
